Parameter name,Value,Parameter description,Parameter type,Source,Further sources or details,Further sources or details,Further sources or details
mild_fraction_70_79,0.41,"Fraction of infected individuals with mild symptoms, aged 70-79",covid-19 assumption,"Yang, Lu et al. 2020",Merged their categories mild pneumonia or no pneumonia,,
mild_fraction_80,0.27,"Fraction of infected individuals with mild symptoms, aged 80+",covid-19 assumption,"Yang, Lu et al. 2020",Merged their categories mild pneumonia or no pneumonia,,
mild_infectious_factor,0.48,Infectious rate of mildly symptomatic individuals relative to symptomatic individuals,covid-19 assumption,Luo et al 2020,,,
n_seed_infection,5,Number of infections seeded at simulation start,IBM setup,-,,,
n_total,1000000,Total population simulated,IBM setup,-,,,
param_id,1,Parameters identifier,IBM setup,-,,,
population_0_9,8054000,UK population aged 0-9,UK demographics,ONS UK,"Sum of two categories in the table linked here, for 2018",,
population_10_19,7528000,UK population aged 10-19,UK demographics,ONS UK,"Sum of two categories in the table linked here, for 2018",,
population_20_29,8712000,UK population aged 20-29,UK demographics,ONS UK,"Sum of two categories in the table linked here, for 2018",,
population_30_39,8835000,UK population aged 30-39,UK demographics,ONS UK,"Sum of two categories in the table linked here, for 2018",,
population_40_49,8500000,UK population aged 40-49,UK demographics,ONS UK,"Sum of two categories in the table linked here, for 2018",,
population_50_59,8968000,UK population aged 50-59,UK demographics,ONS UK,"Sum of two categories in the table linked here, for 2018",,
population_60_69,7069000,UK population aged 60-69,UK demographics,ONS UK,"Sum of two categories in the table linked here, for 2018",,
population_70_79,5488000,UK population aged 70-79,UK demographics,ONS UK,"Sum of two categories in the table linked here, for 2018",,
population_80,3281000,UK population aged 80+,UK demographics,ONS UK,"Sum of the over 80 categories in the table linked here, for 2018",,
quarantine_days,7,The number of previous days' contacts to be traced and contacted,App implementation,-,,,
quarantine_dropout_positive,0.02,Daily probability of drop out for an individual quarantining after a positive test result,Behavioural assumption,-,,,
quarantine_dropout_self,0.02,Daily probability of drop out for an individual quarantining after self-reporting symptoms,Behavioural assumption,-,,,
quarantine_dropout_traced,0.02,Daily probability of drop out for an individual quarantining after being traced,Behavioural assumption,-,,,
quarantine_household_contacts_on_positive,0,"Quarantine the contacts of each household member of a person who tests positive (0=no, 1=yes)",App implementation,-,,,
quarantine_household_contacts_on_symptoms,0,Quarantine the contacts of other household members when someone gets symptoms,App implementation,-,,,
quarantine_household_on_positive,0,"Quarantine household members of a person with a positive test (0=no, 1=yes)",App implementation,-,,,
quarantine_household_on_symptoms,0,"Quarantine household members of a person with symptoms (0=no, 1=yes)",App implementation,-,,,
quarantine_household_on_traced,0,"Quarantine household members of a person who has been traced (0=no, 1=yes)",App implementation,-,,,
quarantine_length_positive,14,Maximum number of days quarantine for individuals with a positive test result,Behavioural assumption,-,,,
quarantine_length_self,7,Maximum number of days quarantine for individuals self-reporting symptoms,Behavioural assumption,-,,,
quarantine_length_traced,14,Maximum number of days quarantine for individuals who are traced,Behavioural assumption,-,,,
quarantine_on_traced,0,"Quarantine individuals who are traced (0=no, 1=yes)",App implementation,-,,,
quarantine_smart_release_day,0,Release a chain of quarantined people if after this number of days nobody has shown symptoms on the chain,App implementation,-,,,
quarantined_daily_interactions,0,Daily random interactions of a quarantined individual,Behavioural assumption,-,,,
random_interaction_distribution,1,"Distribution used for random interactions (0=fixed, age dep, 1=negative binomial)",Network assumption,-,,,
relative_susceptibility_0_9,0.71,"Relative susceptibility to infection, aged 0-9",covid-19 assumption,,"Derivation in documentation, normalised by population size",,
relative_susceptibility_10_19,0.74,"Relative susceptibility to infection, aged 10-19",covid-19 assumption,,"Derivation in documentation, normalised by population size",,
relative_susceptibility_20_29,0.79,"Relative susceptibility to infection, aged 20-29",covid-19 assumption,,"Derivation in documentation, normalised by population size",,
relative_susceptibility_30_39,0.87,"Relative susceptibility to infection, aged 30-39",covid-19 assumption,,"Derivation in documentation, normalised by population size",,
relative_susceptibility_40_49,0.98,"Relative susceptibility to infection, aged 40-49",covid-19 assumption,,"Derivation in documentation, normalised by population size",,
relative_susceptibility_50_59,1.11,"Relative susceptibility to infection, aged 50-59",covid-19 assumption,,"Derivation in documentation, normalised by population size",,
relative_susceptibility_60_69,1.26,"Relative susceptibility to infection, aged 60-69",covid-19 assumption,,"Derivation in documentation, normalised by population size",,
relative_susceptibility_70_79,1.45,"Relative susceptibility to infection, aged 70-79",covid-19 assumption,,"Derivation in documentation, normalised by population size",,
relative_susceptibility_80,1.66,"Relative susceptibility to infection, aged 80+",covid-19 assumption,,"Derivation in documentation, normalised by population size",,
relative_transmission_household,2,Relative infectious rate of household interaction,covid-19 assumption,-,,,
relative_transmission_random,1,Relative infectious rate of random interaction,covid-19 assumption,-,,,
relative_transmission_workplace,1,Relative infectious rate of workplace interaction,covid-19 assumption,-,,,
rng_seed,1,Random starting seed,IBM setup,-,,,
sd_asymptomatic_to_recovery,5,Standard deviation from infection to recovery for an asymptomatic individual (days),covid-19 assumption,Yang et al 2020,,,
sd_infectious_period,2.5,Standard deviation (days) of infectious period,covid-19 assumption,"Ma et al, 2020",Ganyani et al. 2020,Ferretti & Wymant et al. 2020,Intermediate value between these sources
sd_random_interactions_adult,4,Standard deviation for daily random interactions for adults (20-69),Network assumption,"Mossong et al, 2008",,,
sd_random_interactions_child,2,Standard deviation for daily random interactions for children (0-19),Network assumption,"Mossong et al, 2008",,,
sd_random_interactions_elderly,3,Standard deviation for daily random interactions for the elderly (70+),Network assumption,"Mossong et al, 2008",,,
sd_time_critical_survive,2,Standard deviation of time to survive if critical (days),covid-19 assumption,,"ICNARC report Table 5 gives mean time in ICU for survivors = 4 ( 2,8)",,
sd_time_hospitalised_recovery,3,Standard deviation of time to recover if hospitalised (days),covid-19 assumption,,"ICNARC report Table 5 gives mean time in ICU for survivors = 4 ( 2,8)",,
sd_time_to_death,2,Standard deviation of time to death after hospitalisation (days),covid-19 assumption,,"ICNARC report Table 5 gives mean time in ICU for non-survivors = 6 ( 3,9)",,
sd_time_to_recover,5,Standard deviation of time to recovery after hospitalisation (days),covid-19 assumption,Yang et al 2020,,,
sd_time_to_symptoms,2.5,Standard deviation of time from infection to onset of symptoms (days),covid-19 assumption,Lauer et al. 2020,"Backer et al, 2020",,
self_quarantine_fraction,0,Proportion of people who self-quarantine upon symptoms,Behavioural assumption,-,,,
successive_lockdown_duration,21,Length of successive lockdowns (days),Policy choice,-,,,
successive_lockdown_gap,7,Length between successive lockdowns (days),Policy choice,-,,,
successive_lockdown_time_on,10000,"Successive lockdowns are turned on at this time (integer, default 10000)",Policy choice,-,,,
TEMP_intervention_trigger_n_infected,0,Start interventions when n_infected is above a threshold,Policy choice,-,,,
TEMP_lockdown_trigger_app_on_end,1,Start the app at the end of lockdown,Policy choice,-,,,
TEMP_lockdown_trigger_keep_elderly,1,Keep elderly lockdown after the main triggered lockdown,Policy choice,-,,,
TEMP_lockdown_trigger_length,25,Length of lockdown after a trigger,Policy choice,-,,,
TEMP_lockdown_trigger_n_infected,0,Start lockdown when n_infected is above a threshold,Policy choice,-,,,
TEMP_lockdown_trigger_time_to_test,10000,Start testing symptomatic at a time after testing,Policy choice,-,,,
test_insensitive_period,3,Number of days following infection the test is insensitive,covid-19 assumption,Woelfel et al. 2020,,,
test_on_symptoms,0,"Test individuals who show symptoms (0=no, 1=yes)",App implementation,-,,,
test_on_traced,0,"Test individuals who have been contact-traced (0=no, 1=yes)",App implementation,-,,,
test_order_wait,1,Minimum number of days to wait to take a test,App implementation,-,,,
test_result_wait,1,Number of days to wait for a test result ,App implementation,-,,,
testing_symptoms_time_off,10000,Time (days) at which to stop testing on symptoms,Policy choice,-,,,
testing_symptoms_time_on,10000,Time (days) at which to start testing on symptoms,Policy choice,-,,,
trace_on_positive,0,"Trace contacts of an individual who tests positive (0=no, 1=yes)",App implementation,-,,,
trace_on_symptoms,0,"Trace contacts of individuals who show symptoms (0=no, 1=yes)",App implementation,-,,,
traceable_interaction_fraction,0.8,Fraction of interactions that are captured if both users have the app,App implementation,-,,,
tracing_network_depth,0,Depth of interaction network to contact,App implementation,-,,,
